,Accuracy,Precision,Recall,F1_score,G-Mean,MCC,Cohen_Kappa
Mean,0.9822056011987803,0.9841297690991119,0.9822056011987803,0.9829006948031158,0.931791554965203,0.8044071286175265,0.8012590132765746
Std,0.002470296852336932,0.00152236484116639,0.002470296852336932,0.0021387610613886037,0.007234396217746451,0.020152495863536634,0.0218870267028368
