,Accuracy,Precision,Recall,F1_score,G-Mean,MCC,Cohen_Kappa
Mean,0.9948896447726923,0.9955943113540417,0.9948896447726923,0.9951153593660583,0.9959201108443803,0.9860600057026451,0.9860046716173407
Std,0.0006148511849444668,0.0003955595561193908,0.0006148511849444668,0.0005483530223593737,0.0002586128670342088,0.0016443615971454472,0.0016651872237141436
